index,LU0474966081,LU0303494743
2021-11-29,382.93,192.77
2021-11-30,376.12,193.51
2021-12-01,369.14,192.74
2021-12-02,374.97,193.17
2021-12-03,373.04,194.02
2021-12-06,377.74,193.86
2021-12-07,386.36,194.02
2021-12-08,384.63,192.4
2021-12-09,383.49,193.24
2021-12-10,386.5,193.16
2021-12-13,383.95,193.9
2021-12-14,381.19,193.55
2021-12-15,388.17,193.46
2021-12-16,382.9,193.04
2021-12-17,380.07,193.64
2021-12-20,375.24,193.3
2021-12-21,382.84,192.48
2021-12-22,384.68,191.83
2021-12-23,387.59,191.52
2021-12-29,391.65,190.46
2021-12-30,391.17,190.73
2021-12-31,388.74,190.49
2022-01-04,393.14,189.66
2022-01-05,384.62,189.06
2022-01-06,385.64,188.6
2022-01-07,382.37,187.79
2022-01-10,382.76,187.96
2022-01-11,385.56,187.83
2022-01-12,383.93,187.51
2022-01-13,377.17,187.44
2022-01-14,378.38,186.72
2022-01-18,374.39,186.43
2022-01-19,370.7,186.99
2022-01-20,366.52,187.39
2022-01-21,359.62,188.12
2022-01-24,361.82,188.46
2022-01-25,358.52,188.51
2022-01-26,357.71,187.74
2022-01-27,360.04,188.63
2022-01-28,368.27,188.42
2022-01-31,373.74,187.56
2022-02-01,375.0,187.1
2022-02-02,376.93,187.06
2022-02-03,363.85,184.31
2022-02-04,364.96,182.53
2022-02-07,363.52,182.02
2022-02-08,367.38,181.62
2022-02-09,372.47,181.99
2022-02-10,364.52,180.31
2022-02-11,359.6,180.84
2022-02-14,361.24,181.27
2022-02-15,365.42,180.28
2022-02-16,365.51,180.6
2022-02-17,357.66,181.35
2022-02-18,355.98,182.02
2022-02-22,352.58,181.26
2022-02-23,346.38,181.44
2022-02-24,358.23,183.2
2022-02-25,361.97,181.91
2022-02-28,361.54,183.24
2022-03-01,358.84,186.64
2022-03-02,367.99,185.47
2022-03-03,366.25,185.33
2022-03-04,368.09,188.03
2022-03-07,358.65,187.47
2022-03-08,356.05,185.85
2022-03-09,359.68,182.8
2022-03-10,359.04,182.19
2022-03-11,356.09,182.54
2022-03-14,353.06,180.58
2022-03-15,360.82,180.56
2022-03-16,368.25,180.36
2022-03-17,368.93,179.44
2022-03-18,375.28,180.48
2022-03-21,375.08,179.17
2022-03-22,380.26,178.24
2022-03-23,376.29,178.78
2022-03-24,381.5,178.24
2022-03-25,384.23,177.62
2022-03-28,387.51,177.3
2022-03-29,387.56,176.37
2022-03-30,383.0,176.22
2022-03-31,378.29,177.34
2022-04-01,382.66,177.71
2022-04-04,387.16,178.18
2022-04-05,384.36,177.28
2022-04-06,381.29,176.76
2022-04-07,383.22,176.48
2022-04-08,383.55,175.86
2022-04-11,376.25,174.53
2022-04-12,375.79,175.16
2022-04-13,380.94,175.7
2022-04-14,378.79,175.57
2022-04-19,384.43,173.62
2022-04-20,381.42,173.81
2022-04-21,376.54,173.12
2022-04-22,368.44,173.47
2022-04-25,372.88,175.21
2022-04-26,364.32,176.42
2022-04-27,369.7,177.34
2022-04-28,378.9,175.91
2022-04-29,364.02,175.31
2022-05-03,368.23,174.78
2022-05-04,378.86,174.49
2022-05-05,366.01,173.62
2022-05-06,362.17,171.81
2022-05-10,352.79,173.63
2022-05-11,346.87,174.02
2022-05-12,350.98,177.27
2022-05-13,360.0,176.29
2022-05-16,358.25,176.45
2022-05-17,360.92,173.92
2022-05-18,347.16,174.77
2022-05-19,342.67,174.55
2022-05-20,343.81,175.04
2022-05-23,346.58,173.31
2022-05-24,341.91,173.79
2022-05-25,346.65,174.26
2022-05-27,361.32,174.11
2022-05-31,358.98,172.41
2022-06-01,357.82,171.97
2022-06-07,361.76,169.83
2022-06-08,357.0,168.84
2022-06-09,351.18,168.97
2022-06-10,344.84,168.92
2022-06-13,334.89,167.8
