index,LU0340554673,LU0474966677,LU0386875149
2020-09-30,463.08,147.82,315.31
2020-10-02,463.3,147.06,315.92
2020-10-05,459.98,148.27,317.7
2020-10-06,463.76,148.95,319.61
2020-10-07,463.32,148.57,320.88
2020-10-08,468.41,149.51,324.34
2020-10-09,468.94,148.48,325.51
2020-10-12,475.78,148.52,328.09
2020-10-13,482.7,149.33,330.06
2020-10-14,485.16,149.7,330.67
2020-10-15,475.82,149.15,326.54
2020-10-16,479.22,148.02,329.13
2020-10-19,476.92,149.0,328.05
2020-10-20,473.2,147.04,325.45
2020-10-21,477.0,148.36,324.46
2020-10-22,472.92,147.27,323.31
2020-10-23,471.4,147.81,322.96
2020-10-26,469.55,147.22,319.06
2020-10-27,472.42,147.45,318.14
2020-10-28,467.33,148.77,311.74
2020-10-29,471.36,149.06,313.23
2020-10-30,459.74,146.23,308.1
2020-11-02,468.22,148.86,315.77
2020-11-04,475.49,150.32,324.22
2020-11-05,486.14,151.74,329.76
2020-11-06,483.72,152.98,328.96
2020-11-09,491.65,154.51,336.0
2020-11-10,476.05,154.84,329.68
2020-11-11,481.38,157.56,334.14
2020-11-12,486.18,157.25,333.91
2020-11-13,482.95,155.55,333.79
2020-11-16,485.86,158.51,335.79
2020-11-17,480.72,159.16,332.99
2020-11-18,480.7,158.46,334.8
2020-11-19,482.15,159.34,334.07
2020-11-20,484.28,159.29,334.16
2020-11-24,488.46,161.64,336.54
2020-11-25,490.08,161.87,336.44
2020-11-27,494.89,163.7,339.04
2020-11-30,488.73,160.46,337.33
2020-12-01,491.58,161.26,339.39
2020-12-02,485.79,160.16,335.3
2020-12-03,489.66,159.91,334.56
2020-12-04,489.74,159.71,335.63
2020-12-07,490.74,158.98,337.0
2020-12-08,491.27,158.9,337.5
2020-12-09,496.87,160.56,340.61
2020-12-10,488.85,160.02,337.53
2020-12-11,492.86,160.71,338.26
2020-12-14,495.75,161.5,341.96
2020-12-15,494.85,160.23,341.1
2020-12-16,499.45,161.1,343.13
2020-12-17,502.61,161.9,344.14
2020-12-18,502.3,161.05,345.83
2020-12-21,499.64,161.39,341.13
2020-12-22,500.81,158.73,344.94
2020-12-23,499.1,159.69,346.85
2020-12-28,496.4,161.16,348.38
2020-12-29,498.55,163.64,346.66
2020-12-30,501.78,162.79,347.91
2020-12-31,503.14,162.98,346.59
2021-01-04,504.27,162.35,349.61
2021-01-05,504.47,162.13,347.04
2021-01-06,499.34,161.6,348.35
2021-01-07,502.5,164.26,354.28
2021-01-08,509.33,166.84,360.05
2021-01-12,512.98,167.86,360.0
2021-01-13,513.33,168.49,359.45
2021-01-14,521.7,169.49,361.91
2021-01-15,519.79,169.09,359.55
2021-01-19,520.91,168.72,360.86
2021-01-20,534.61,168.4,365.27
2021-01-21,534.02,169.84,364.2
2021-01-22,533.66,168.69,362.93
2021-01-25,542.2,169.13,365.72
2021-01-26,535.62,168.22,363.53
2021-01-27,529.53,169.38,355.44
2021-01-28,526.06,166.6,355.28
2021-01-29,519.39,162.83,353.34
2021-02-01,526.41,165.26,355.97
2021-02-02,540.73,167.06,364.29
2021-02-03,548.38,169.37,366.14
2021-02-04,551.45,168.84,367.4
2021-02-05,554.0,170.93,369.75
2021-02-08,557.51,173.0,373.01
2021-02-09,559.33,173.78,372.36
2021-02-10,565.7,173.99,373.95
2021-02-12,568.63,174.18,375.8
2021-02-16,576.2,176.28,378.69
2021-02-17,574.54,175.91,375.41
2021-02-18,568.98,174.8,371.17
2021-02-19,574.31,173.27,372.92
2021-02-22,566.62,173.61,368.67
2021-02-24,551.41,169.65,362.91
2021-02-25,552.97,170.47,363.8
2021-02-26,539.3,165.74,357.49
2021-03-01,554.42,169.54,364.94
2021-03-02,557.94,168.86,366.36
2021-03-03,550.38,168.68,359.57
2021-03-04,537.01,166.6,354.0
2021-03-05,536.15,167.19,351.91
2021-03-08,539.49,167.61,358.28
2021-03-09,542.38,168.8,362.04
2021-03-10,548.73,169.14,364.54
2021-03-11,552.56,168.93,366.61
2021-03-12,551.69,171.17,367.18
